中裁 仲裁
丰功伟迹 丰功伟绩
丰富多采 丰富多彩
临摩书法 临摹书法
为国捐驱 为国捐躯
为富不忍 为富不仁
为虎作帐 为虎作伥
举一返三 举一反三
举世振惊 举世震惊
举家迁徒 举家迁徙
举行晏会 举行宴会
义不容词 义不容辞
义无返顾 义无反顾
义正辞严 义正词严
义气用事 意气用事
义气风发 意气风发
乌烟脏气 乌烟瘴气
九宵 九霄
九宵云外 九霄云外
九洲 九州
九洲方圆 九州方圆
书写了草 书写潦草
书声琅朗 书声琅琅
买牍还珠 买椟还珠
了望 瞭望
事必恭亲 事必躬亲
事过景迁 事过境迁
互相推委 互相推诿
五体头地 五体投地
五彩斑烂 五彩斑斓
五色斑澜 五色斑斓
亲睐 青睐
亵赎 亵渎
人参鹿葺 人参鹿茸
人心项背 人心向背
人情事故 人情世故
人所不耻 人所不齿
人言责责 人言啧啧
从中干旋 从中斡旋
从常计议 从长计议
仗义直言 仗义执言
仗义输财 仗义疏财
付之东流 付诸东流
付食品 副食品
令人乍舌 令人咋舌
令人发直 令人发指
令人恐布 令人恐怖
令人目炫 令人目眩
以一挡十 以一当十
以偏盖全 以偏概全
以德抱怨 以报抱怨
以毒功毒 以毒攻毒
以老卖老 倚老卖老
以警效尤 以儆效尤
以身作责 以身作则
以身徇国 以身殉国
以身徇职 以身殉职
以逸代劳 以逸待劳
仲栽委员 仲裁委员
份內之事 分內之事
众口烁金 众口铄金
众目暌暌 众目睽睽
传颂一时 传诵一时
估名钓誉 沽名钓誉
伶牙利齿 伶牙俐齿
余勇可沽 余勇可贾
作奸犯课 作奸犯科
作歇时间 作息时间
作贼心虚 做贼心虚
佳宾满座 嘉宾满座
佳言懿行 嘉言懿行
佶屈骛牙 佶屈聱牙
供献巨大 贡献巨大
依仗权势 倚仗权势
依然固我 依然故我
侥勇善战 骁勇善战
侯车室 候车室
俗不可奈 俗不可耐
保护国萃 保护国粹
信口词黄 信口雌黄
修养生息 休养生息
修茸 修葺
修茸一新 修葺一新
倍受欢迎 备受欢迎
倒打一把 倒打一耙
候门似海 侯门似海
候门如海 侯门如海
倾刻之间 顷刻之间
偃苗助长 揠苗助长
做月子 坐月子
偷工简料 偷工减料
儒子可教 孺子可教
先发治人 先发制人
先理后兵 先礼后兵
克苦耐劳 刻苦耐劳
免为其难 勉为其难
兢竞业业 兢兢业业
入不付出 入不敷出
入场卷 入场券
全家迁徒 全家迁徙
全神灌注 全神贯注
兰天白云 蓝天白云
关怀倍至 关怀备至
兴高彩烈 兴高采烈
兵慌马乱 兵荒马乱
